"Instante lectura","Horas de frío ( <=7ºC)"
"2008-02-01 00:00:00.0","224.7"
"2008-03-01 00:00:00.0","345.5"
"2008-04-01 00:00:00.0","211.5"
"2008-05-01 00:00:00.0","71.0"
"2008-06-01 00:00:00.0","4.3"
"2008-07-01 00:00:00.0","7.7"
"2008-08-01 00:00:00.0","2.5"
"2008-09-01 00:00:00.0","9.0"
"2008-10-01 00:00:00.0","125.0"
"2008-11-01 00:00:00.0","374.5"
"2008-12-01 00:00:00.0","444.3"
"2009-01-01 00:00:00.0","464.8"
"2009-02-01 00:00:00.0","359.8"
"2009-03-01 00:00:00.0","194.0"
"2009-04-01 00:00:00.0","299.0"
"2009-05-01 00:00:00.0","63.7"
"2009-06-01 00:00:00.0","0.0"
"2009-07-01 00:00:00.0","0.5"
"2009-08-01 00:00:00.0","0.0"
"2009-09-01 00:00:00.0","9.0"
"2009-10-01 00:00:00.0","25.0"
"2009-11-01 00:00:00.0","208.7"
"2009-12-01 00:00:00.0","456.0"
"2010-01-01 00:00:00.0","518.8"
"2010-02-01 00:00:00.0","-9999.0"
"2010-03-01 00:00:00.0","-9999.0"
"2010-04-01 00:00:00.0","-9999.0"
"2010-05-01 00:00:00.0","-9999.0"
"2010-06-01 00:00:00.0","-9999.0"
"2010-07-01 00:00:00.0","-9999.0"
"2010-08-01 00:00:00.0","-9999.0"
"2010-09-01 00:00:00.0","-9999.0"
"2010-10-01 00:00:00.0","-9999.0"
"2010-11-01 00:00:00.0","-9999.0"
"2010-12-01 00:00:00.0","-9999.0"
"2011-01-01 00:00:00.0","448.6"
"2011-02-01 00:00:00.0","-9999.0"
"2011-03-01 00:00:00.0","-9999.0"
"2011-04-01 00:00:00.0","-9999.0"
"2011-05-01 00:00:00.0","-9999.0"
"2011-06-01 00:00:00.0","27.0"
"2011-07-01 00:00:00.0","11.8"
"2011-08-01 00:00:00.0","4.3"
"2011-09-01 00:00:00.0","6.3"
"2011-10-01 00:00:00.0","90.3"
"2011-11-01 00:00:00.0","281.0"
"2011-12-01 00:00:00.0","490.2"
"2012-01-01 00:00:00.0","543.2"
"2012-02-01 00:00:00.0","465.5"
"2012-03-01 00:00:00.0","207.7"
"2012-04-01 00:00:00.0","414.0"
"2012-05-01 00:00:00.0","102.7"
"2012-06-01 00:00:00.0","12.5"
"2012-07-01 00:00:00.0","4.7"
"2012-08-01 00:00:00.0","0.5"
"2012-09-01 00:00:00.0","17.3"
"2012-10-01 00:00:00.0","152.0"
"2012-11-01 00:00:00.0","318.5"
"2012-12-01 00:00:00.0","470.5"
